wordDe;sentence;wordTr;sentenceTr;wordEn;sentenceEn
das Brot;;;;;
das Brötchen;;;;;
der Bruder;;;;;
das Buch;;;;;
der Buchstabe;;;;;
das Foto;;;;;
fragen;;;;;
die Frau;;;;;
frei;;;;;
die Freizeit;;;;;
die Gitarre;;;;;
der Glück;;;;;
die Grippe;;;;;
der Hals;;;;;
der Hamburger;;;;;
reich;;;;;
der Reifen;;;;;
die Reihe;;;;;
dir Reinigung;;;;;
die Reise;;;;;
